time,sensor,temperature
1:20:27 PM,T_SURF1HS_2,36.2
1:20:27 PM,T_SURF6HS_1,51.2
1:20:27 PM,T_SURF5HS_1,52.1
1:20:27 PM,T_SURF4HS_1,52.1
1:20:27 PM,T_SURF3HS_1,53.1
1:20:27 PM,T_SURF2HS_1,47.6
1:20:27 PM,T_SURF1HS_1,51.9
1:20:27 PM,T_SURF6HS_0,51.9
1:20:27 PM,T_SURF5HS_0,52.4
1:20:27 PM,T_SURF4HS_0,52.4
1:20:27 PM,T_SURF3HS_0,51.4
1:20:27 PM,T_SURF2HS_0,51
1:20:27 PM,T_SURF1HS_0,50.7
1:20:40 PM,T_SURF7HS_3,36
1:20:40 PM,T_SURF6HS_3,36.4
1:20:40 PM,T_SURF5HS_3,36.2
1:20:40 PM,T_SURF4HS_3,36.9
1:20:40 PM,T_SURF3HS_3,36.9
1:20:40 PM,T_SURF2HS_3,36.2
1:20:40 PM,T_SURF1HS_3,32.4
1:20:40 PM,T_SURF7HS_2,36.2
1:20:40 PM,T_SURF6HS_2,35.5
1:20:40 PM,T_SURF5HS_2,36
1:20:40 PM,T_SURF4HS_2,36.2
1:20:40 PM,T_SURF3HS_2,37.1
1:20:40 PM,T_SURF2HS_2,36.4
1:20:40 PM,T_SURF1HS_2,36.9
1:20:40 PM,T_SURF6HS_1,51.2
1:20:40 PM,T_SURF5HS_1,52.4
1:20:40 PM,T_SURF4HS_1,52.4
1:20:40 PM,T_SURF3HS_1,53.3
1:20:40 PM,T_SURF2HS_1,47.6
1:20:40 PM,T_SURF1HS_1,51.9
1:20:40 PM,T_SURF6HS_0,51.9
1:20:40 PM,T_SURF5HS_0,52.1
1:20:40 PM,T_SURF4HS_0,52.4
1:20:40 PM,T_SURF3HS_0,51.7
1:20:40 PM,T_SURF2HS_0,50.7
1:20:40 PM,T_SURF1HS_0,51
1:20:53 PM,T_SURF7HS_3,36.7
1:20:53 PM,T_SURF6HS_3,36.7
1:20:53 PM,T_SURF5HS_3,36.7
1:20:53 PM,T_SURF4HS_3,36.9
1:20:53 PM,T_SURF3HS_3,37.6
1:20:53 PM,T_SURF2HS_3,36.4
1:20:53 PM,T_SURF1HS_3,32.9
1:20:53 PM,T_SURF7HS_2,36.4
1:20:53 PM,T_SURF6HS_2,36
1:20:53 PM,T_SURF5HS_2,36.2
1:20:53 PM,T_SURF4HS_2,36.2
1:20:53 PM,T_SURF3HS_2,37.6
1:20:53 PM,T_SURF2HS_2,36.7
1:20:53 PM,T_SURF1HS_2,37.4
1:20:53 PM,T_SURF6HS_1,51.4
1:20:53 PM,T_SURF5HS_1,52.6
1:20:53 PM,T_SURF4HS_1,52.6
1:20:53 PM,T_SURF3HS_1,53.6
1:20:53 PM,T_SURF2HS_1,47.4
1:20:53 PM,T_SURF1HS_1,52.1
1:20:53 PM,T_SURF6HS_0,51.9
1:20:53 PM,T_SURF5HS_0,52.4
1:20:53 PM,T_SURF4HS_0,52.6
1:20:53 PM,T_SURF3HS_0,51.9
1:20:53 PM,T_SURF2HS_0,51
1:20:53 PM,T_SURF1HS_0,51
1:21:07 PM,T_SURF7HS_3,36.7
1:21:07 PM,T_SURF6HS_3,36.7
1:21:07 PM,T_SURF5HS_3,37.1
1:21:07 PM,T_SURF4HS_3,37.4
1:21:07 PM,T_SURF3HS_3,37.4
1:21:07 PM,T_SURF2HS_3,36.7
1:21:07 PM,T_SURF1HS_3,33.1
1:21:07 PM,T_SURF7HS_2,36.4
1:21:07 PM,T_SURF6HS_2,36.4
1:21:07 PM,T_SURF5HS_2,36.2
1:21:07 PM,T_SURF4HS_2,36.4
1:21:07 PM,T_SURF3HS_2,37.9
1:21:07 PM,T_SURF2HS_2,37.1
1:21:07 PM,T_SURF1HS_2,37.4
1:21:07 PM,T_SURF6HS_1,51.4
1:21:07 PM,T_SURF5HS_1,52.6
1:21:07 PM,T_SURF4HS_1,52.6
1:21:07 PM,T_SURF3HS_1,53.8
1:21:07 PM,T_SURF2HS_1,47.9
1:21:07 PM,T_SURF1HS_1,52.1
1:21:07 PM,T_SURF6HS_0,52.1
1:21:07 PM,T_SURF5HS_0,52.1
1:21:07 PM,T_SURF4HS_0,52.4
1:21:07 PM,T_SURF3HS_0,51.9
1:21:07 PM,T_SURF2HS_0,51
1:21:07 PM,T_SURF1HS_0,51.2
1:21:20 PM,T_SURF7HS_3,36.9
1:21:20 PM,T_SURF6HS_3,37.1
1:21:20 PM,T_SURF5HS_3,37.4
1:21:20 PM,T_SURF4HS_3,37.6
1:21:20 PM,T_SURF3HS_3,37.9
1:21:20 PM,T_SURF2HS_3,36.7
1:21:20 PM,T_SURF1HS_3,32.9
1:21:20 PM,T_SURF7HS_2,36.9
1:21:20 PM,T_SURF6HS_2,36.7
1:21:20 PM,T_SURF5HS_2,36.7
1:21:20 PM,T_SURF4HS_2,36.9
1:21:20 PM,T_SURF3HS_2,38.1
1:21:20 PM,T_SURF2HS_2,37.1
1:21:20 PM,T_SURF1HS_2,37.9
1:21:20 PM,T_SURF6HS_1,51.7
1:21:20 PM,T_SURF5HS_1,52.4
1:21:20 PM,T_SURF4HS_1,52.6
1:21:20 PM,T_SURF3HS_1,53.6
