time,sensor,temperature
1:24:00 PM,T_TURFIO_0,60.3
1:24:00 PM,T_RPU_TURF,53.9
1:24:00 PM,T_APU_TURF,54.5
1:24:14 PM,T_TURFIO_3,49
1:24:14 PM,T_TURFIO_2,50.4
1:24:14 PM,T_TURFIO_1,61.2
1:24:14 PM,T_TURFIO_0,61.2
1:24:14 PM,T_RPU_TURF,53.9
1:24:14 PM,T_APU_TURF,54.5
1:24:27 PM,T_TURFIO_3,49.3
1:24:27 PM,T_TURFIO_2,51.2
1:24:27 PM,T_TURFIO_1,62
1:24:27 PM,T_TURFIO_0,60.8
1:24:27 PM,T_RPU_TURF,53.4
1:24:27 PM,T_APU_TURF,54.7
1:24:40 PM,T_TURFIO_3,50.1
1:24:40 PM,T_TURFIO_2,51.7
1:24:40 PM,T_TURFIO_1,62.8
1:24:40 PM,T_TURFIO_0,61.2
1:24:40 PM,T_RPU_TURF,55.2
1:24:40 PM,T_APU_TURF,54.9
1:24:54 PM,T_TURFIO_3,49.6
1:24:54 PM,T_TURFIO_2,51.2
1:24:54 PM,T_TURFIO_1,62.6
1:24:54 PM,T_TURFIO_0,60.4
1:24:54 PM,T_RPU_TURF,53.2
1:24:54 PM,T_APU_TURF,54.8
1:25:07 PM,T_TURFIO_3,50.2
1:25:07 PM,T_TURFIO_2,51.4
1:25:07 PM,T_TURFIO_1,62.9
1:25:07 PM,T_TURFIO_0,60.9
1:25:07 PM,T_RPU_TURF,53.3
1:25:07 PM,T_APU_TURF,53.5
1:25:20 PM,T_TURFIO_3,50.2
1:25:20 PM,T_TURFIO_2,51.6
1:25:20 PM,T_TURFIO_1,62.6
1:25:20 PM,T_TURFIO_0,60
1:25:20 PM,T_RPU_TURF,54.8
1:25:20 PM,T_APU_TURF,54.1
1:25:34 PM,T_TURFIO_3,49.7
1:25:34 PM,T_TURFIO_2,51.9
1:25:34 PM,T_TURFIO_1,62.8
1:25:34 PM,T_TURFIO_0,60.9
1:25:34 PM,T_RPU_TURF,55
1:25:34 PM,T_APU_TURF,54.7
1:25:47 PM,T_TURFIO_3,50.2
1:25:47 PM,T_TURFIO_2,51.7
1:25:47 PM,T_TURFIO_1,62.1
1:25:47 PM,T_TURFIO_0,61.5
1:25:47 PM,T_RPU_TURF,55.5
1:25:47 PM,T_APU_TURF,54.6
1:26:00 PM,T_TURFIO_1,62.6
1:26:00 PM,T_TURFIO_0,61.3
1:26:00 PM,T_RPU_TURF,53.6
1:26:00 PM,T_APU_TURF,53.1
1:26:01 PM,T_TURFIO_3,50.1
1:26:01 PM,T_TURFIO_2,51.8
1:26:14 PM,T_TURFIO_3,49.8
1:26:14 PM,T_TURFIO_2,51.4
